Age,Usedfor,Date,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,SidesEffects,UsefulCount,,Sentiment,Topic Discussion
65-74,High Blood Pressure,2/28/2009,AmoxID1,2,2, ,2,Male,,2,,,
55-64,High Blood Pressure,2/27/2009,AmoxID1,4,2,"steady increase in blood pressure, unexplained weight gain, tiredness, dizziness",1,Male,,3,,,
35-44,High Blood Pressure,2/27/2009,AmoxID1,4,4,"I have taken AmoxID1 for 5 years and it controlled my blood pressure very effectively.  However, each winter I would have extremely chapped lips, with a red almost kool-aid stain looking rash around my mouth and my lips would be swollen in the morning.  It was attributed to allergies, however after switching doctors, I explained this to my new doctor and she immediately attributed it to the AmoxID1 and switched me over to Cozaar.  Since switching my lips have not been extremely chapped swollen and the rash has not appeared.",2,Female,,8,,,
55-64,High Blood Pressure,2/27/2009,AmoxID1,5,4,my blood pressure with this medicine has improved.,4,Female,,1,,,
35-44,High Blood Pressure,2/26/2009,AmoxID1,2,2,"My Husband started taking this medication about 3 weeks ago. I have seen a noticable change in his health. The problems started with a harsh cough and then lead to problems with breathing,fast heartbeat,sleeping two hours or less at night,and extreme tiredness. He thinks it will all go away without going to the doctor
but after reading these reviews I hope he will go.",1,Female,,17,,,
25-34,High Blood Pressure,2/25/2009,AmoxID1,5,5,"While it has been GREAT at lowering my blood pressure, I have gained twenty pounds in the last two and a half months.",3,Female,,2,,,
55-64,High Blood Pressure,2/25/2009,AmoxID1,5,4,I have been very dizzy ,1,Female,,6,,,
65-74,High Blood Pressure,2/25/2009,AmoxID1,5,4,"Very few side effects - only until recently I am having dry mouth late in the day, every day.  Will consult the Dr. Overall, I have not had any problem with this drug.",5,Female,,3,,,
75 or over,Other,2/25/2009,AmoxID1,1,2,sweating,3,Female,,1,,,
45-54,High Blood Pressure,2/25/2009,AmoxID1,4,3,have been taking 10mg for about six weeks now some drop in bp but my toprol is more effective. side effects are not eorth it dry hacking cough gagging nasuea. general weakness and head ach.,1,Male,,5,,,
25-34,High Blood Pressure,2/25/2009,AmoxID1,5,2,"After 8 months of taking this drug my BP never really lowered just relaxed my heart, no chest pains.  Constant dry cough and ED.",1,Male,,4,,,
55-64,High Blood Pressure,2/24/2009,AmoxID1,5,5,"the only thing I was wondering, if the side effects for this pill would be not getting a full erection. Is that one of the symptoms?",5,Male,,7,,,
45-54,High Blood Pressure,2/24/2009,AmoxID1,4,4,"I have been on this drug for about 6 months and it has helped me lower my blood pressure. Like many others here I began to have a dry cough with gagging. At first it was just at night but now has become constant during the day also. I called my doctor after talking to a friend and reading these reviews. I will no longer be taking this drug, if I need more than my atenonl we will visit this later. I have had heaviness in the chest, and feel tired all the time. I had been attributing this to having a stent placed several months ago. Spent a whole bunch of money on additional stress tests and nuclear heart testing since the stent. I am thinking this medication could have been causing many if not all of my symptoms. The troubling part is none of these side effects which I discussed with my Dr. and the testing personnel were attributed to this drug. Just more tests. To say I am somewhat disturbed by this is an understatement. ",2,Female,,8,,,
55-64,High Blood Pressure,2/24/2009,AmoxID1,5,4,"I used this medicine for many years(~15).  Then I had a times where my tougue swelled during the night and I had to have steroid treatments etc.  After three of these over a 6 month time frame, I was told by one emergency room doctor, that AmoxID1 was the cause and to stop taking it.  I did and was fine for a month or so but then had another tongue swelling episode.  Now total cofusion with this product and my condition.",4,Male,,2,,,
55-64,High Blood Pressure,2/23/2009,AmoxID1,5,4, ,5,Male,,0,,,
35-44,High Blood Pressure,2/8/2009,AmoxID1,3,3,some times makes me feel dizzy,3,Male,,12,,,
45-54,High Blood Pressure,2/22/2009,AmoxID1,2,5,This drug works well in reducing high BP but it reduced mine to almost nothing.It went as low as 88/53 when I called my doctor.I just thank God I had a device to take my BP at home.I don't know what would have happened.I would have passed out for sure but then what?Be very careful taking this med and please check your BP at home.,2,Female,,9,,,
55-64,Nondiabetic Proteinuric Nephropathy,2/22/2009,AmoxID1,3,4,"I have been taking 40 mg at bed time together with 80mg of lipitor and 40 mg of potassium,also take 16 waterpills(2metalone,12 bumetanide)for aprox6mths md stop lipitor for the past 2 weeks,I have complained about ;no sex drive,extreme fatigue,unbelievable muscle weakness and stiffness in legs,back and chests when coughing it feels like i'm gagging.. after stopping lipitormuscle stiffness decreased ,now I'm going to quite lisopril too and see if  my overall feeling improves ,Kidney dr. put me on all this meds due to MGN of the kidneys my edema has gone down however these side effects are devastating",2,Male,,3,,,
55-64,High Blood Pressure,2/20/2009,AmoxID1,5,4,"I have been taking this medication for nearly three years and thought all the dry coughing and gagging was from smoking (I have stopped) but yet the severe dry hacking cough still continues.  I have a nasal drip I thought was due to allergies but I now feel are from the medication.  One stroe I was getting my meds from gave me a report on each drug I had to take well, with the price of gas and distance I had to drive I changed pharmacies and they gave reports on drugs also.  That's when I found out this mediction can cause dry cough.  (one pharmacy report contains this info and the other doesn't)so all this time I have been coughing and gagging and now it feels like there is something caught in the back of my throat.  I am going to the Dr. Feb. 26th.  I hope there isn't any permanent damage to my throat.",2,Female,,10,,,
19-24,High Blood Pressure,2/19/2009,AmoxID1,1,1,"Constant throat pain, throwing up, constant congestion, burning pain in throat, makes me extremely exhausted, sleep all the time",1,Male,,7,,,
75 or over,High Blood Pressure,2/19/2009,AmoxID1,3,3, ,3, ,,1,,,
45-54,High Blood Pressure,2/18/2009,AmoxID1,5,5, ,5,Female,,2,,,
35-44,High Blood Pressure,2/18/2009,AmoxID1,3,3,"Started on this medication December 2008 finally going to doctor to change it.  I would of never known all my symptoms(hacking cough that makes you gag, fatigue, etc) was from this medication.  Hope doctor gives me something so all of this will go away.  ",1,Female,,9,,,
55-64,High Blood Pressure,2/18/2009,AmoxID1,1,1,"I took this pill twice. I had a cva 6years ago and I decided to try a new dr. He added this one on to me, with 3 others of a different brand. It shot my BP up so high and my face went numb and I ended up in the hospital for 3 days. ",1,Female,,6,,,
55-64,High Blood Pressure,2/18/2009,AmoxID1,4,4,"Since I started taking AmoxID1 2 month ago my I have not been able to sleep .My sex drive dropped drastically
",3,Male,,7,,,
55-64,High Blood Pressure,2/18/2009,AmoxID1,5,4,AmoxID1 has reduced blood pressure readings but i have experienced several problems.  A hacking cough seems to be widely reported and there have been problems with sexual dysfunction and /or low libido.  Severe aches in the legs are evident when walking any distance and I often experience fatigue. ,1,Male,,15,,,
65-74,High Blood Pressure,2/17/2009,AmoxID1,5,3,"while the drug has lowered my blood pressure.
I now have very disturbed sleeping, waking every 2 hours, my doctor refuses to give me any sleeping aid or change my medication.",3,Male,,12,,,
45-54,High Blood Pressure,2/16/2009,AmoxID1,1,1,"I took this drug for 4 weeks.  After the first week I developed a horrible dry cough that left me gagging approximately 15 times a day and every hour on the hour at night.  I also became severely constipated and my urine output was drastically reduced no matter how much I drank.  I was tired all the time, my heart would palpitate occasionally, and I had trouble catching my breath. After 3 weeks I called my doctor to complain of the cough only to be prescribed a cough medicine which didn't touch the problem.  I couldn't sleep at night because of the cough even with sleep aids.  I had trouble focusing on the simplest of tasks at work and had blurred vision.  I finally got online to research the dry cough (I was afraid it was throat cancer) only to find an abundance of sites associated with side effects of AmoxID1.  I immediately stopped taking the drug.  It's been 5 days and the cough is still as bad as it was before.  I've never been more miserable in my life.",1,Female,,25,,,
65-74,High Blood Pressure,2/16/2009,AmoxID1,4,4,Is been working find. I'm sending this message in behalf of my husband. He TAKE  it everyday.,4,Male,,5,,,
55-64,High Blood Pressure,2/16/2009,AmoxID1,5,4,Works very well with atenolo.,4,Male,,1,,,
25-34,High Blood Pressure,2/15/2009,AmoxID1,5,5,I dont see much of a difference when i take this other than a little short-breathed or fatigue. But i have dropped my high blood pressure significantly within 3 months. Keep taking it if you have to!,3,Male,,8,,,
55-64,High Blood Pressure,2/15/2009,AmoxID1,4,1, ,2,Male,,0,,,
45-54,High Blood Pressure,2/15/2009,AmoxID1,1,1,does this drug cause ed,1,Male,,3,,,
55-64,High Blood Pressure,4/24/2008,AmoxID1,4,3,Took 10mg for 3 months.  Had constant irritation in upper throat causing a cough.  Sinus conjestion that turned into a serious sinus infection.    ,1,Male,,14,,,
55-64,High Blood Pressure,4/24/2008,AmoxID1,4,1,"have been on 10mg. for 6 days; developed dry cough especially at night. Worse is muscle spasms & severe muscle cramp in feet & legs at night, tiredness & lightheaded at times. Wil call Dr. immediately.",1,Female,,16,,,
55-64,High Blood Pressure,4/22/2008,AmoxID1,1,1,"After 1 week on this drug, I have ringing in my ears, probably caused by elevated BP, runny nose, constant dry cough, sleepless, diarhea, flushing, achy muscle, terrible headaches, ceased meds on the 8th day.  I was stupid to start this med, BP was only 140/78 should have just exercised!",1,Male,,22,,,
,High Blood Pressure,4/22/2008,AmoxID1,5,4,"I usually have 140/80 bp after taking drug, i would vary from 130/80 to 116/62 which was fine. I feel more calm. the dry cough comes and goes usually at night. My libido is unaffected, still very high at 46yrs. I also changed my diet and excercise to 5 days a week with at least 72 oz of liquid/ water tea etc...lost 30 lbs. BP is fine very satisfied",5,Male,,12,,,
,High Blood Pressure,4/22/2008,AmoxID1,5,1,"Took 5mg once a day for a week. Never again! It increased my blood pressure to well over 200/100, had shortness of breath and was tired most of the time. Went back to Altenol-Chlor 100/25mg 2x a day and was fine. Sometimes it doesnt pay to listen to your doctor when they want to try something new....",1,Female,,10,,,
35-44,High Blood Pressure,4/21/2008,AmoxID1,5,1,"High BP diagnosed 1 year ago. Atenolol didn't work, next will try Benicar.
Day 1 lightheaded, day 2 fine, day 3 stomach and pms-like cramps, can't eat, day 4 get fever blister, can't eat, day 5 lips swell, still can't eat, quit and call doctor. 
I am the picture of health: weight right, eat right, exercise, pray, but genetics too hard to overcome. Thanks Mom.",1,Female,,16,,,
35-44,High Blood Pressure,4/21/2008,AmoxID1,3,3,bp went too low,1,Female,,6,,,
55-64,Nondiabetic Proteinuric Nephropathy,4/20/2008,AmoxID1,3,3,I have been taking this medication for almost 2 years and I have a very bad cough  I know this medication's side effect is a cough. Could I still have a side effect of the cough after 2 years??,2,Female,,16,,,
